rxn,LB,UB
HMR_3905,0.0,8.523400177122785
HMR_3907,0.0,4.357183619940342
HMR_4097,0.0,3.105640353349991
HMR_4099,0.0,2.8370850760820745
HMR_4108,0.0,3.105640353349991
HMR_4133,0.0,3.105640353349991
HMR_4281,-5.297058117359807,5.297058117359807
HMR_4388,-5.297058117359807,5.297058117359807
HMR_4283,0.0,0.8596836422004646
HMR_8357,0.0,6.006978394315231
HMR_4379,0.0,2.948341729366494
HMR_4301,0.0,3.011543667432546
HMR_4355,0.0,8.041437718989803
HMR_4358,0.0,2.511329090024707
HMR_4363,-4.990230680637426,4.990230680637426
HMR_4365,-3.3045401541296138,3.3045401541296138
HMR_4368,-4.775074162771287,4.775074162771287
HMR_4370,0.0,2.1311747676166437
HMR_4371,0.0,3.3045401541296138
HMR_4372,0.0,1.7325124404555599
HMR_4373,-5.9903909376622195,5.9903909376622195
HMR_4375,-8.041437718989803,8.041437718989803
HMR_4377,0.0,5.9615001484566665
HMR_4391,-4.9415061752328135,4.9415061752328135
HMR_4394,0.0,3.365587919463697
HMR_4396,-4.904852625146735,4.904852625146735
HMR_4521,0.0,1.1812196023623964
HMR_6410,0.0,3.1520821904285152
HMR_6412,0.0,2.4072790765687078
HMR_7745,-3.4912821143854282,3.4912821143854282
HMR_7746,0.0,2.7230999960076767
HMR_7747,0.0,2.689414881570481
HMR_8360,0.0,5.938988290138126
HMR_8757,0.0,6.502943067690453
HMR_3989,0.0,3.372904754198454
HMR_4122,0.0,4.094584933330651
HMR_4837,0.0,2.3302895826264827
HMR_5395,0.0,2.956617605771102
HMR_5396,0.0,3.8607609555970415
HMR_9727,0.0,4.785833382351086
HMR_5397,0.0,3.8789915440795846
HMR_5398,0.0,4.21351881437923
HMR_5399,0.0,3.9482560805450118
HMR_5400,0.0,3.9482560805450118
HMR_5401,0.0,4.21351881437923
HMR_8568,0.0,1.729497737939998
HMR_8569,0.0,1.729497737939998
HMR_8570,0.0,1.729497737939998
HMR_8571,0.0,1.729497737939998
HMR_8572,0.0,1.729497737939998
HMR_8573,0.0,1.729497737939998
HMR_8574,0.0,1.729497737939998
HMR_8575,0.0,1.729497737939998
HMR_8576,0.0,1.729497737939998
HMR_8577,0.0,1.729497737939998
HMR_8578,0.0,1.729497737939998
HMR_8579,0.0,1.729497737939998
HMR_8581,0.0,1.729497737939998
HMR_8591,0.0,2.208537609652895
HMR_8592,0.0,2.9446570957281706
HMR_8580,0.0,1.729497737939998
HMR_8582,0.0,1.729497737939998
HMR_8587,0.0,2.208537609652895
HMR_8589,0.0,2.9446570957281706
HMR_3944,0.0,5.26784059877169
HMR_4128,-2.671142803059966,2.671142803059966
HMR_4130,0.0,3.0942392865225345
HMR_4131,-2.7645113672301,2.7645113672301
HMR_4132,0.0,2.7645113672301
HMR_4303,0.0,3.299775029643353
HMR_4414,0.0,3.0942392865225345
HMR_4416,0.0,3.4471914138404847
HMR_4774,-2.948341729366494,2.948341729366494
HMR_4775,-2.948341729366494,2.948341729366494
HMR_7674,0.0,4.310882483879778
HMR_8761,0.0,4.550240505499355
HMR_8762,-8.041437718989803,8.041437718989803
HMR_8766,-2.684420247434237,2.684420247434237
HMR_8767,0.0,2.7645113672301
HMR_4297,0.0,4.21097951982976
HMR_4315,-4.602758493527593,4.602758493527593
HMR_4316,-2.684420247434237,2.684420247434237
HMR_4319,0.0,2.7230999960076767
HMR_4383,-1.6203275643633008,1.6203275643633008
HMR_4385,0.0,3.008069453285657
HMR_4386,0.0,3.087714287821126
HMR_4387,0.0,2.3532516416842038
HMR_4399,0.0,1.9333216742155845
HMR_4401,-1.9689557090884284,1.9689557090884284
HMR_4490,0.0,2.7230999960076767
HMR_4706,0.0,4.217381951793893
HMR_4590,0.0,5.507421878099362
HMR_4591,0.0,4.239096331298083
HMR_4592,-2.684420247434237,2.684420247434237
HMR_4593,0.0,4.602758493527593
HMR_4595,-2.8122794010636896,2.8122794010636896
HMR_8341,0.0,4.711290231091563
HMR_8344,-4.357183619940342,4.357183619940342
HMR_8352,-3.884347260720382,3.884347260720382
HMR_8726,0.0,2.4963970372692597
HMR_8727,0.0,3.100006129010423
HMR_8729,0.0,1.572105807270825
HMR_6537,-4.357183619940342,4.357183619940342
HMR_1568,0.0,0.8596836422004646
HMR_3853,0.0,4.495411592951103
HMR_3854,0.0,2.684420247434237
HMR_3855,0.0,2.684420247434237
HMR_3857,0.0,3.314377083218107
HMR_3859,0.0,3.506002662005379
HMR_4087,0.0,2.1783899360570387
HMR_4089,0.0,2.7164117018401437
HMR_4091,0.0,2.1783899360570387
HMR_4093,0.0,3.9968408172006593
HMR_4095,0.0,3.9968408172006593
HMR_4101,0.0,6.691749807517505
HMR_4103,0.0,4.9723614068729125
HMR_4143,0.0,4.076407653390324
HMR_4193,0.0,2.334568629565297
HMR_8497,0.0,4.711290231091563
HMR_8498,0.0,6.502943067690453
HMR_8499,0.0,6.502943067690453
HMR_8500,0.0,4.711290231091563
HMR_8501,0.0,4.281395731559626
HMR_8502,-8.523400177122785,8.523400177122785
HMR_8503,0.0,5.228725675845524
HMR_8504,0.0,6.006978394315231
HMR_8506,0.0,6.006978394315231
HMR_8507,0.0,8.523400177122785
HMR_8508,0.0,8.523400177122785
HMR_8509,0.0,4.711290231091563
HMR_8511,0.0,3.314377083218107
HMR_8512,-3.4851434152836225,3.4851434152836225
HMR_8514,0.0,3.506002662005379
HMR_8516,0.0,3.0462724294038988
HMR_4280,-5.297058117359807,5.297058117359807
HMR_0153,0.0,3.647782847933017
HMR_3212,0.0,6.016020246748967
HMR_3797,-3.647782847933017,3.647782847933017
HMR_3800,0.0,0.8442958388261984
HMR_4105,0.0,1.797790876998034
HMR_4106,0.0,1.797790876998034
HMR_4107,0.0,1.797790876998034
HMR_4282,0.0,5.364710354598416
HMR_4331,-3.647782847933017,3.647782847933017
HMR_4459,0.0,3.647782847933017
HMR_4460,-3.647782847933017,3.647782847933017
HMR_4497,0.0,5.496634148273227
HMR_4741,0.0,2.8278774038025594
HMR_9804,-6.542345203778986,6.542345203778986
HMR_1434,-3.697626123563545,3.697626123563545
HMR_3163,0.0,6.016020246748967
HMR_4461,-4.151230316115926,4.151230316115926
HMR_4604,0.0,4.493442710859579
HMR_5351,-2.4631411005538117,2.4631411005538117
HMR_7709,-3.771304874717259,3.771304874717259
HMR_4052,0.0,3.691758970989709
HMR_4304,0.0,1.0564839829614676
HMR_4306,-1.0564839829614676,1.0564839829614676
HMR_4350,-3.011264058478348,3.011264058478348
HMR_4351,-1.6284782492607122,1.6284782492607122
HMR_4352,-1.6284782492607122,1.6284782492607122
HMR_4354,-4.904852625146735,4.904852625146735
HMR_4398,-3.539920083869433,3.539920083869433
HMR_4404,-2.291207823281028,2.291207823281028
HMR_4473,0.0,3.4058821244321265
HMR_4474,0.0,3.4058821244321265
HMR_4476,-6.209561078282334,6.209561078282334
HMR_4477,-3.041823274447946,3.041823274447946
HMR_4501,-2.291207823281028,2.291207823281028
HMR_4565,-3.4608108152758965,3.4608108152758965
HMR_4567,-2.948341729366494,2.948341729366494
HMR_4568,-2.948341729366494,2.948341729366494
HMR_4623,0.0,4.436382683864264
HMR_4625,0.0,4.436382683864264
HMR_4710,-3.4302638340246734,3.4302638340246734
HMR_4841,-0.8596836422004646,0.8596836422004646
HMR_8074,0.0,3.011264058478348
HMR_8653,-4.436382683864264,4.436382683864264
HMR_3998,0.0,4.50420337349414
HMR_4000,0.0,4.075172097039178
HMR_4002,-5.085073051278935,5.085073051278935
HMR_4004,-5.085073051278935,5.085073051278935
HMR_4010,0.0,4.52645346647023
HMR_4081,0.0,4.52645346647023
HMR_4082,0.0,4.52645346647023
HMR_4012,0.0,3.9530861651057467
HMR_4014,0.0,4.383934182711999
