"ReactionIDs","Species","species","variable","value"
"msp_0005_maxFlux","msp_0005","Escherichia coli","FVA_maxFlux: Ex_NH3",1.76477215938723
"msp_0005_maxFlux","msp_0005","Escherichia coli","FBA: Ex_NH3",0
"msp_0166_maxFlux","msp_0166","Bifidobacterium longum","FVA_maxFlux: Ex_NH3",0
"msp_0166_maxFlux","msp_0166","Bifidobacterium longum","FBA: Ex_NH3",0
"msp_0313_maxFlux","msp_0313","Veillonella parvula","FVA_maxFlux: Ex_NH3",2.23968884074479
"msp_0313_maxFlux","msp_0313","Veillonella parvula","FBA: Ex_NH3",0
"msp_0380_maxFlux","msp_0380","Streptococcus salivarius","FVA_maxFlux: Ex_NH3",0
"msp_0380_maxFlux","msp_0380","Streptococcus salivarius","FBA: Ex_NH3",0
"msp_0570_maxFlux","msp_0570","Bifidobacterium dentium","FVA_maxFlux: Ex_NH3",4.18393478136842
"msp_0570_maxFlux","msp_0570","Bifidobacterium dentium","FBA: Ex_NH3",1.9248604892307
"msp_0573_maxFlux","msp_0573","Eggerthella lenta","FVA_maxFlux: Ex_NH3",3.24576735954762
"msp_0573_maxFlux","msp_0573","Eggerthella lenta","FBA: Ex_NH3",2.71459358443144
"msp_0627_maxFlux","msp_0627","Bifidobacterium breve","FVA_maxFlux: Ex_NH3",4.88407298395869
"msp_0627_maxFlux","msp_0627","Bifidobacterium breve","FBA: Ex_NH3",4.78406924691368
"msp_0881_maxFlux","msp_0881","Haemophilus parainfluenzae","FVA_maxFlux: Ex_NH3",0.864616280381631
"msp_0881_maxFlux","msp_0881","Haemophilus parainfluenzae","FBA: Ex_NH3",0.864361570222898
"msp_0884_maxFlux","msp_0884","Veillonella atypica","FVA_maxFlux: Ex_NH3",2.2185746516622
"msp_0884_maxFlux","msp_0884","Veillonella atypica","FBA: Ex_NH3",1.90354476983146
"msp_1219_maxFlux","msp_1219","Veillonella rogosae","FVA_maxFlux: Ex_NH3",0.934457243873919
"msp_1219_maxFlux","msp_1219","Veillonella rogosae","FBA: Ex_NH3",0
"msp_1782_maxFlux","msp_1782","Prevotella melaninogenica","FVA_maxFlux: Ex_NH3",4.43846315963691
"msp_1782_maxFlux","msp_1782","Prevotella melaninogenica","FBA: Ex_NH3",3.80600599732297
"msp_1786_maxFlux","msp_1786","unclassified Leptotrichia","FVA_maxFlux: Ex_NH3",1.51332074761603
"msp_1786_maxFlux","msp_1786","unclassified Leptotrichia","FBA: Ex_NH3",0.17128438145272
"msp_1787_maxFlux","msp_1787","Prevotella salivae","FVA_maxFlux: Ex_NH3",1.75632479799583
"msp_1787_maxFlux","msp_1787","Prevotella salivae","FBA: Ex_NH3",0.153661069753896
"msp_1788_maxFlux","msp_1788","Lachnoanaerobaculum orale","FVA_maxFlux: Ex_NH3",0
"msp_1788_maxFlux","msp_1788","Lachnoanaerobaculum orale","FBA: Ex_NH3",0
"msp_1793_maxFlux","msp_1793","Prevotella denticola","FVA_maxFlux: Ex_NH3",3.06059971029963
"msp_1793_maxFlux","msp_1793","Prevotella denticola","FBA: Ex_NH3",2.95826189503012
"msp_1799_maxFlux","msp_1799","unclassified Veillonella","FVA_maxFlux: Ex_NH3",2.30491779452317
"msp_1799_maxFlux","msp_1799","unclassified Veillonella","FBA: Ex_NH3",2.14491514078716
