"MSP","species","Condition","Flux"
"msp_0005","Escherichia coli","UK_avg_FBA",0
"msp_0166","Bifidobacterium longum","UK_avg_FBA",0
"msp_0313","Veillonella parvula","UK_avg_FBA",0
"msp_0380","Streptococcus salivarius","UK_avg_FBA",0
"msp_0570","Bifidobacterium dentium","UK_avg_FBA",1.9248604892307
"msp_0573","Eggerthella lenta","UK_avg_FBA",2.71459358443144
"msp_0627","Bifidobacterium breve","UK_avg_FBA",4.78406924691368
"msp_0881","Haemophilus parainfluenzae","UK_avg_FBA",0.864361570222898
"msp_0884","Veillonella atypica","UK_avg_FBA",1.90354476983146
"msp_1219","Veillonella rogosae","UK_avg_FBA",0
"msp_1782","Prevotella melaninogenica","UK_avg_FBA",3.80600599732297
"msp_1786","unclassified Leptotrichia","UK_avg_FBA",0.17128438145272
"msp_1787","Prevotella salivae","UK_avg_FBA",0.153661069753896
"msp_1788","Lachnoanaerobaculum orale","UK_avg_FBA",0
"msp_1793","Prevotella denticola","UK_avg_FBA",2.95826189503012
"msp_1799","unclassified Veillonella","UK_avg_FBA",2.14491514078716
"msp_0005","Escherichia coli","UK_avg_FVA",1.76477215938723
"msp_0166","Bifidobacterium longum","UK_avg_FVA",0
"msp_0313","Veillonella parvula","UK_avg_FVA",2.23968884074479
"msp_0380","Streptococcus salivarius","UK_avg_FVA",0
"msp_0570","Bifidobacterium dentium","UK_avg_FVA",4.18393478136842
"msp_0573","Eggerthella lenta","UK_avg_FVA",3.24576735954762
"msp_0627","Bifidobacterium breve","UK_avg_FVA",4.88407298395869
"msp_0881","Haemophilus parainfluenzae","UK_avg_FVA",0.864616280381631
"msp_0884","Veillonella atypica","UK_avg_FVA",2.2185746516622
"msp_1219","Veillonella rogosae","UK_avg_FVA",0.934457243873919
"msp_1782","Prevotella melaninogenica","UK_avg_FVA",4.43846315963691
"msp_1786","unclassified Leptotrichia","UK_avg_FVA",1.51332074761603
"msp_1787","Prevotella salivae","UK_avg_FVA",1.75632479799583
"msp_1788","Lachnoanaerobaculum orale","UK_avg_FVA",0
"msp_1793","Prevotella denticola","UK_avg_FVA",3.06059971029963
"msp_1799","unclassified Veillonella","UK_avg_FVA",2.30491779452317
"msp_0005","Escherichia coli","HFD_P",0
"msp_0166","Bifidobacterium longum","HFD_P",0
"msp_0313","Veillonella parvula","HFD_P",0.152673043678478
"msp_0380","Streptococcus salivarius","HFD_P",0
"msp_0570","Bifidobacterium dentium","HFD_P",2.7254015267039
"msp_0573","Eggerthella lenta","HFD_P",4.74073125181203
"msp_0627","Bifidobacterium breve","HFD_P",0
"msp_0881","Haemophilus parainfluenzae","HFD_P",0
"msp_0884","Veillonella atypica","HFD_P",5.12702493711394
"msp_1219","Veillonella rogosae","HFD_P",5.09322775191443
"msp_1782","Prevotella melaninogenica","HFD_P",5.93214263419953
"msp_1786","unclassified Leptotrichia","HFD_P",0
"msp_1787","Prevotella salivae","HFD_P",0
"msp_1788","Lachnoanaerobaculum orale","HFD_P",0
"msp_1793","Prevotella denticola","HFD_P",0
"msp_1799","unclassified Veillonella","HFD_P",4.23865699205217
"msp_0005","Escherichia coli","HFD_O",0
"msp_0166","Bifidobacterium longum","HFD_O",0
"msp_0313","Veillonella parvula","HFD_O",0.562091388292092
"msp_0380","Streptococcus salivarius","HFD_O",0
"msp_0570","Bifidobacterium dentium","HFD_O",8.22780618440024
"msp_0573","Eggerthella lenta","HFD_O",0
"msp_0627","Bifidobacterium breve","HFD_O",0
"msp_0881","Haemophilus parainfluenzae","HFD_O",3.0836175564407
"msp_0884","Veillonella atypica","HFD_O",6.85019689935169
"msp_1219","Veillonella rogosae","HFD_O",0
"msp_1782","Prevotella melaninogenica","HFD_O",4.13104159047465
"msp_1786","unclassified Leptotrichia","HFD_O",0
"msp_1787","Prevotella salivae","HFD_O",0
"msp_1788","Lachnoanaerobaculum orale","HFD_O",0
"msp_1793","Prevotella denticola","HFD_O",0
"msp_1799","unclassified Veillonella","HFD_O",6.83488789057653
"msp_0005","Escherichia coli","HPD_P",9.86756322151193
"msp_0166","Bifidobacterium longum","HPD_P",0
"msp_0313","Veillonella parvula","HPD_P",0
"msp_0380","Streptococcus salivarius","HPD_P",0
"msp_0570","Bifidobacterium dentium","HPD_P",5.12947056002672
"msp_0573","Eggerthella lenta","HPD_P",0
"msp_0627","Bifidobacterium breve","HPD_P",2.81884895695456
"msp_0881","Haemophilus parainfluenzae","HPD_P",2.54818575920468
"msp_0884","Veillonella atypica","HPD_P",10.0875706438795
"msp_1219","Veillonella rogosae","HPD_P",9.4310493403678
"msp_1782","Prevotella melaninogenica","HPD_P",0
"msp_1786","unclassified Leptotrichia","HPD_P",0
"msp_1787","Prevotella salivae","HPD_P",0.399358874953011
"msp_1788","Lachnoanaerobaculum orale","HPD_P",0
"msp_1793","Prevotella denticola","HPD_P",12.5162146707313
"msp_1799","unclassified Veillonella","HPD_P",8.82119889837488
"msp_0005","Escherichia coli","HPD_O",16.3977378822746
"msp_0166","Bifidobacterium longum","HPD_O",0
