,msp_0005,msp_0166,msp_0313,msp_0380,msp_0570,msp_0573,msp_0627,msp_0881,msp_0884,msp_1219,msp_1782,msp_1786,msp_1787,msp_1788,msp_1793,msp_1799
GutSample1,0.007476079,0.000194513,0,0,0.00016531,0,0,0.001148714,0,0,0,0,0,0,0,0
GutSample2,0.002479333,0.170130025,0.01729313,0.022874931,0.012285327,0.00107134,0.003261701,0.005353415,0.010443588,0,0,0,0,0,0,0
GutSample3,0.000394076,0.00160326,0,0,0,9.97E-05,0,0,0,0,0,0,0,0,0,0
GutSample4,0.000360486,0.000853629,0,0,9.21E-05,0,0,0,0,0.000345766,0,0,0,0,0,0
GutSample5,0.000362074,0.026924335,0.023794659,0.021425328,0.001155682,0.0026276,0,0,0.003826191,0,0,0,0,0,0,0
GutSample6,0.001196002,0.036420834,0,0,0,0.002555096,0.000703127,0,0,0,0,0,0,0,0,0
GutSample7,0.030701084,0,0.016066675,0.018896271,0.674562539,0.01398123,0,0,0.000780175,0,0,0,0,0,0,0
GutSample8,0.600581563,0.000279315,0,0,0,0,0.129629436,0,0,0,0,0,0,0,0,0
GutSample9,0.000312292,0.005989151,0,0,0.00039334,0,7.87E-05,0,0,0,0,0,0,0,0,0
GutSample10,0.001204316,0.016816807,0,0.000299466,0.000144539,0.005984368,0,0,0,0,0,0,0,0,0,0
GutSample11,0,0.001131071,0,0.00023675,0,0,0,0,0,0,0,0,0,0,0,0
GutSample12,0,0,0.009035701,0.00202127,0.000181288,0.010722684,0,0.00065058,0,0.000198757,0,0,0,0,0,0
GutSample13,0.001644923,0.074929416,0.000464758,0.003216703,0.000364638,0.00190671,0,0,0,0,0,0,0,0,0,0
GutSample14,0.197895575,0,0.256732397,0.001320561,0.111545114,0,0,0.000793089,0.012161418,0,0,0,0,0,0,0
GutSample15,0.026549222,0,0.004717213,0,0,0,0,0,0,0,0,0,0,0,0,0
GutSample16,0.000384933,0.000364675,0.000235076,0.010292885,0.000748574,0,0,0.001105954,0.000284883,0,0.000722544,0,0,0,0,0
GutSample17,0.282218931,0.008966993,0.097225726,0,0,0.000918062,0,0,0.007118425,0,0,0,0,0,0,0
GutSample18,0.004456923,0.000279867,0.012911869,0,0,0.002755614,0,0,0,0,0,0,0,0,0,0
GutSample19,0.000943515,0,0.009790174,0.004303208,0.004542178,0.007068662,0,0,0.00301578,0,0,0,0,0,0,0
GutSample20,0.001211092,0,0.001240834,0,0.000297655,0.003781855,0,0,0,0,0,0,0,0,0,0
GutSample21,0.036434843,0.005945216,0,0.002140741,0,0,0,0.000408447,0,0,0,0,0,0,0,0
GutSample22,0.092142375,0.017944648,0.00059847,0.041583865,0.000300159,0.030634391,0,0.006545471,0.000535863,0.002316704,0.002939432,0,0,0,0,0
GutSample23,0.04479457,0.005256384,0.013106232,0.007321601,0.008758665,0.002056918,7.61E-05,0,0.004196842,0,0.000467811,0,0,0,0.000725586,0
GutSample24,0.000317248,0.007336662,0,0.000290213,0.000943858,0.000167249,0.000140216,0,0,0,0,0,0,0,0,0
GutSample25,0.005016494,0.045157668,0.000873669,0,8.39E-05,0.003448144,0,0,0.000178336,0,0,0,0,0,0,0
GutSample26,0.061912848,0.007817328,0.008050761,0,0.000153451,0,0,0,0.061487261,0,0,0,0,0,0,0.002096482
GutSample27,0.006846097,0.000277473,0.003513204,0.012063998,0.229935344,0,0,0,0.000910191,0,0,0,0,0,0,0
GutSample28,0.000273367,0.027435897,0,0.000639436,0,0.000109506,0,0,0,0,0,0,0,0,0,0
GutSample29,0.00040508,0.011625523,0.000588709,0.001269325,0.000175702,0.000270236,0.000414702,0.000427138,0.000318831,0,0.000290053,0,0,0,0,0
GutSample30,0.066846438,0.00325194,0.145751846,0.000152994,0,0.000489968,0,0,0.00036674,0,0,0,0,0,0,0
GutSample31,0,0.002195903,0,0.000599332,0,0,0,0,4.28E-05,0.000167325,0.000247744,0,0,0,0,0
GutSample32,0.000114517,0.000134434,0.001003948,0.001075347,0,0.000102176,0,0,0,0.000381906,0.00013132,0,0,0,0,0
