rxn,LB,UB
HMR_9034,-11.101243339253998,-0.0
HMR_9035,-0.1,-0.0
HMR_9036,-0.1,-0.0
HMR_9038,-0.09668063164679341,1000.0
HMR_9039,-0.38118472211633764,1000.0
HMR_9040,-0.38118472211633764,1000.0
HMR_9041,-0.21899808376676705,1000.0
HMR_9042,-0.10052945513035319,1000.0
HMR_9043,-0.09080452811913553,1000.0
HMR_9044,-0.167897918065816,1000.0
HMR_9045,-0.024482201439553448,1000.0
HMR_9046,-0.17072129748186085,1000.0
HMR_9047,-1000.0,1000.0
HMR_9048,-1000.0,-0.0
HMR_9058,-1000.0,-0.0
HMR_9061,-0.0,1000.0
HMR_9062,-0.3784438389343021,1000.0
HMR_9063,-2.05282605720541,1000.0
HMR_9064,-0.110381367625144,1000.0
HMR_9065,-0.0,1000.0
HMR_9066,-1.1481056257175664,1000.0
HMR_9067,-0.133209004928733,1000.0
HMR_9068,-0.173716668114305,1000.0
HMR_9069,-0.285469597487867,1000.0
HMR_9070,-0.15026296018031557,1000.0
HMR_9071,-0.1359342078434038,1000.0
HMR_9072,-1000.0,1000.0
HMR_9074,-1000.0,1000.0
HMR_9077,-1000.0,1000.0
HMR_9079,-1000.0,1000.0
HMR_9081,-1000.0,1000.0
HMR_9082,-1000.0,1000.0
HMR_9083,-0.021486892995272882,1000.0
HMR_9084,-0.1,-0.0
HMR_9109,-0.000818632065818018,1000.0
HMR_9143,-0.0005314061005420342,1000.0
HMR_9144,-0.00484496124031008,1000.0
HMR_9145,-0.000524625941703565,1000.0
HMR_9146,-0.0022655188038060714,1000.0
HMR_9150,-1000.0,1000.0
HMR_9159,-0.00296498354434133,1000.0
HMR_9361,-0.19427175843694497,1000.0
HMR_9378,-0.00818866688503111,1000.0
HMR_9167,-1000.0,-0.0
HMR_9423,-1000.0,-0.0
HMR_9358,-1000.0,-0.0
HMR_9076,-1000.0,1000.0
HMR_9033,-1000.0,-0.0
HMR_9351,-0.0032539372640895,-0.0
