rxn,LB,UB
HMR_3905,0.0,8.368626947725625
HMR_3907,0.0,4.461349652663683
HMR_4097,0.0,3.0495666466646063
HMR_4099,0.0,2.9949754222142593
HMR_4108,0.0,3.0495666466646063
HMR_4133,0.0,3.0495666466646063
HMR_4281,-5.287350630625196,5.287350630625196
HMR_4388,-5.287350630625196,5.287350630625196
HMR_4283,0.0,1.3278816525286612
HMR_8357,0.0,6.153078632094907
HMR_4379,0.0,3.4515174654253444
HMR_4301,0.0,3.5141409020678824
HMR_4355,0.0,7.891078011288911
HMR_4358,0.0,3.087081893412048
HMR_4363,-5.218928939290547,5.218928939290547
HMR_4365,-3.65055352672045,3.65055352672045
HMR_4368,-4.934520478810015,4.934520478810015
HMR_4370,0.0,2.2082532264851737
HMR_4371,0.0,3.65055352672045
HMR_4372,0.0,2.1140130143250135
HMR_4373,-6.580982074314436,6.580982074314436
HMR_4375,-7.891078011288911,7.891078011288911
HMR_4377,0.0,5.997001614219083
HMR_4391,-5.154478231206334,5.154478231206334
HMR_4394,0.0,3.474475934704829
HMR_4396,-4.836924755835406,4.836924755835406
HMR_4521,0.0,1.5587975837653956
HMR_6410,0.0,3.3183725379904088
HMR_6412,0.0,2.646544743130153
HMR_7745,-3.6966017354001264,3.6966017354001264
HMR_7746,0.0,2.937553952726862
HMR_7747,0.0,2.6680107475391193
HMR_8360,0.0,5.9658399741274035
HMR_8757,0.0,6.44227230734874
HMR_3989,0.0,3.626175452416105
HMR_4122,0.0,4.20495169030681
HMR_4837,0.0,2.4632121985708855
HMR_5395,0.0,3.061587841326817
HMR_5396,0.0,3.7926048861253543
HMR_9727,0.0,5.243303055652157
HMR_5397,0.0,3.785036411664406
HMR_5398,0.0,4.482763613865918
HMR_5399,0.0,3.6531133549045327
HMR_5400,0.0,3.6531133549045327
HMR_5401,0.0,4.482763613865918
HMR_8568,0.0,1.778975788393774
HMR_8569,0.0,1.778975788393774
HMR_8570,0.0,1.778975788393774
HMR_8571,0.0,1.778975788393774
HMR_8572,0.0,1.778975788393774
HMR_8573,0.0,1.778975788393774
HMR_8574,0.0,1.778975788393774
HMR_8575,0.0,1.778975788393774
HMR_8576,0.0,1.778975788393774
HMR_8577,0.0,1.778975788393774
HMR_8578,0.0,1.778975788393774
HMR_8579,0.0,1.778975788393774
HMR_8581,0.0,1.778975788393774
HMR_8591,0.0,2.0372126204021224
HMR_8592,0.0,3.3935748034893645
HMR_8580,0.0,1.778975788393774
HMR_8582,0.0,1.778975788393774
HMR_8587,0.0,2.0372126204021224
HMR_8589,0.0,3.3935748034893645
HMR_3944,0.0,5.445595815166141
HMR_4128,-2.7513253761131167,2.7513253761131167
HMR_4130,0.0,3.4846474162601178
HMR_4131,-2.865940405896495,2.865940405896495
HMR_4132,0.0,2.865940405896495
HMR_4303,0.0,3.595705337301798
HMR_4414,0.0,3.4846474162601178
HMR_4416,0.0,3.788613228562366
HMR_4774,-3.4515174654253444,3.4515174654253444
HMR_4775,-3.4515174654253444,3.4515174654253444
HMR_7674,0.0,4.257837566321802
HMR_8761,0.0,4.621944320260505
HMR_8762,-7.891078011288911,7.891078011288911
HMR_8766,-5.306891782948066,5.306891782948066
HMR_8767,0.0,2.865940405896495
HMR_4297,0.0,4.074917871752816
HMR_4315,-4.320285596928283,4.320285596928283
HMR_4316,-5.306891782948066,5.306891782948066
HMR_4319,0.0,2.937553952726862
HMR_4383,-1.8244199449763963,1.8244199449763963
HMR_4385,0.0,2.9781971937277434
HMR_4386,0.0,3.3111365343059287
HMR_4387,0.0,2.7146135948330246
HMR_4399,0.0,2.1571828454615085
HMR_4401,-2.1361184721947337,2.1361184721947337
HMR_4490,0.0,2.937553952726862
HMR_4706,0.0,4.085326701936424
HMR_4590,0.0,5.681416885778107
HMR_4591,0.0,4.427740164902737
HMR_4592,-5.306891782948066,5.306891782948066
HMR_4593,0.0,4.320285596928283
HMR_4595,-2.6682223580828848,2.6682223580828848
HMR_8341,0.0,4.918512913521719
HMR_8344,-4.461349652663683,4.461349652663683
HMR_8352,-3.9661433200257883,3.9661433200257883
HMR_8726,0.0,2.5485679034264384
HMR_8727,0.0,3.4049386410818814
HMR_8729,0.0,1.9277386573053814
HMR_6537,-4.461349652663683,4.461349652663683
HMR_1568,0.0,1.3278816525286612
HMR_3853,0.0,4.5312390692714475
HMR_3854,0.0,5.306891782948066
HMR_3855,0.0,5.306891782948066
HMR_3857,0.0,3.5480206274655517
HMR_3859,0.0,3.9945339795626826
HMR_4087,0.0,2.330421383437358
HMR_4089,0.0,2.9008113878986412
HMR_4091,0.0,2.330421383437358
HMR_4093,0.0,4.113566808711617
HMR_4095,0.0,4.113566808711617
HMR_4101,0.0,6.606641942920996
HMR_4103,0.0,5.135721139945271
HMR_4143,0.0,4.114509656498925
HMR_4193,0.0,2.8263293388647766
HMR_8497,0.0,4.918512913521719
HMR_8498,0.0,6.44227230734874
HMR_8499,0.0,6.44227230734874
HMR_8500,0.0,4.918512913521719
HMR_8501,0.0,4.473232939180513
HMR_8502,-8.368626947725625,8.368626947725625
HMR_8503,0.0,5.313401836714618
HMR_8504,0.0,6.153078632094907
HMR_8506,0.0,6.153078632094907
HMR_8507,0.0,8.368626947725625
HMR_8508,0.0,8.368626947725625
HMR_8509,0.0,4.918512913521719
HMR_8511,0.0,3.5480206274655517
HMR_8512,-3.9748633166732006,3.9748633166732006
HMR_8514,0.0,3.9945339795626826
HMR_8516,0.0,3.060604660827061
HMR_4280,-5.287350630625196,5.287350630625196
HMR_0153,0.0,3.6911534840468385
HMR_3212,0.0,5.797126318245557
HMR_3797,-3.6911534840468385,3.6911534840468385
HMR_3800,0.0,1.2814467694496177
HMR_4105,0.0,1.6713022360908043
HMR_4106,0.0,1.6713022360908043
HMR_4107,0.0,1.6713022360908043
HMR_4282,0.0,5.117099040970667
HMR_4331,-3.6911534840468385,3.6911534840468385
HMR_4459,0.0,3.6911534840468385
HMR_4460,-3.6911534840468385,3.6911534840468385
HMR_4497,0.0,5.561090931855894
HMR_4741,0.0,2.8362278077563787
HMR_9804,-6.785002421838929,6.785002421838929
HMR_1434,-3.3698097020434505,3.3698097020434505
HMR_3163,0.0,5.797126318245557
HMR_4461,-4.1253028055010645,4.1253028055010645
HMR_4604,0.0,4.234270940352322
HMR_5351,-2.625255079566085,2.625255079566085
HMR_7709,-3.4701217708042447,3.4701217708042447
HMR_4052,0.0,3.849348048109699
HMR_4304,0.0,1.3722103453513645
HMR_4306,-1.3722103453513645,1.3722103453513645
HMR_4350,-3.1840115271426095,3.1840115271426095
HMR_4351,-1.9061181150150446,1.9061181150150446
HMR_4352,-1.9061181150150446,1.9061181150150446
HMR_4354,-4.836924755835406,4.836924755835406
HMR_4398,-3.5362176723533914,3.5362176723533914
HMR_4404,-2.76905918825651,2.76905918825651
HMR_4473,0.0,3.7733815500728802
HMR_4474,0.0,3.7733815500728802
HMR_4476,-6.244860952957595,6.244860952957595
HMR_4477,-3.1950997201561453,3.1950997201561453
HMR_4501,-2.76905918825651,2.76905918825651
HMR_4565,-3.8141227923816237,3.8141227923816237
HMR_4567,-3.4515174654253444,3.4515174654253444
HMR_4568,-3.4515174654253444,3.4515174654253444
