"metabolite","species","rho","p","FDR","abs_rho","sig_p05","sig_fdr05","sig_fdr10"
"Pentose alcohols","Bifidobacterium longum",-0.520577790102698,2.04133339607982e-08,2.2454667356878e-07,0.520577790102698,TRUE,TRUE,TRUE
"Phenylacetyl-L-glutamine","Bifidobacterium longum",-0.500887011437248,8.25178919503921e-08,9.07696811454313e-07,0.500887011437248,TRUE,TRUE,TRUE
"Orotidine","Bifidobacterium longum",-0.475153200698608,4.50760320026725e-07,4.95836352029398e-06,0.475153200698608,TRUE,TRUE,TRUE
"Hydroxyphenylacetic acids","Bifidobacterium longum",-0.46443643782724,8.78388953510646e-07,9.66227848861711e-06,0.46443643782724,TRUE,TRUE,TRUE
"Glucuronic acid","Bifidobacterium longum",-0.44946465611782,2.14950920076473e-06,2.3644601208412e-05,0.44946465611782,TRUE,TRUE,TRUE
"Quinolinic acid","Bifidobacterium longum",-0.441033834217958,3.4931490220208e-06,3.84246392422288e-05,0.441033834217958,TRUE,TRUE,TRUE
"Threitol","Bifidobacterium longum",-0.436043240314818,4.62824396741012e-06,5.09106836415113e-05,0.436043240314818,TRUE,TRUE,TRUE
"Pseudouridine","Bifidobacterium longum",-0.434424975171623,5.06556058302857e-06,5.57211664133143e-05,0.434424975171623,TRUE,TRUE,TRUE
"N-Acetyl-l-phenylalanine","Bifidobacterium longum",-0.431856120713544,5.84063495525156e-06,6.42469845077672e-05,0.431856120713544,TRUE,TRUE,TRUE
"Acetamidobutanoic acid","Bifidobacterium longum",-0.428744072361246,6.92939366893284e-06,7.62233303582612e-05,0.428744072361246,TRUE,TRUE,TRUE
"Galacturonic acid","Bifidobacterium longum",-0.422542608735575,9.69294500121093e-06,0.00010662239501332,0.422542608735575,TRUE,TRUE,TRUE
"Indolelactic acid","Eggerthella lenta",-0.407264959590769,2.15530489446978e-05,0.000237083538391675,0.407264959590769,TRUE,TRUE,TRUE
"N6-Acetyl-L-lysine","Bifidobacterium longum",-0.40517172066002,2.39748457092931e-05,0.000263723302802224,0.40517172066002,TRUE,TRUE,TRUE
"N-Acetylneuraminic acid","Bifidobacterium longum",-0.403474239740585,2.61235780264177e-05,0.000287359358290595,0.403474239740585,TRUE,TRUE,TRUE
"Pantothenic acid","Eggerthella lenta",-0.397901552649947,3.45140013687457e-05,0.000379654015056203,0.397901552649947,TRUE,TRUE,TRUE
"N-Acetyl-L-alanine","Bifidobacterium longum",-0.397114344562434,3.58846966271992e-05,0.000394731662899191,0.397114344562434,TRUE,TRUE,TRUE
"N-Acetyl-l-phenylalanine","Streptococcus salivarius",-0.372861322010298,0.000113644395552541,0.000625044175538973,0.372861322010298,TRUE,TRUE,TRUE
"p-Hydroxyphenyllactic acid","Escherichia coli",0.385720497829249,6.23716572788053e-05,0.000686088230066858,0.385720497829249,TRUE,TRUE,TRUE
"N-Acetyl-L-aspartic acid","Eggerthella lenta",0.377940890809351,8.99325858051049e-05,0.000989258443856154,0.377940890809351,TRUE,TRUE,TRUE
