"rxns","metabolite","log2FC_muscle","log2FC_brain","label_flag"
"HMR_7108","benzo",0,0,FALSE
"HMR_7110","naphthalene",0,0,FALSE
"HMR_7112","aflatoxin B1",0,0,FALSE
"HMR_7114","trichloroethene",0,0,FALSE
"HMR_7116","bromobenzene",0,0,FALSE
"HMR_7118","7,12-dimethylbenz",0,0,FALSE
"HMR_7120","4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone",0,0,FALSE
"HMR_7122","1-nitronaphthalene",0,0,FALSE
"HMR_7124","1,1-dichloroethylene",0,0,FALSE
"HMR_7126","1,2-dibromoethane",0,0,FALSE
"HMR_9024","chylomicron",0,0,FALSE
"HMR_9808","propanoate",0,0,FALSE
"HMR_9810","valeric acid",0,0,FALSE
"HMR_9811","hexanoic acid",10.6025530685234,10.6025530580331,TRUE
"HMR_9812","heptylic acid",0,0,FALSE
"HMR_9813","octanoic acid",22.7404853463892,22.9482393943935,TRUE
"HMR_9814","nonanoic acid",0,0,FALSE
"HMR_9815","decanoic acid",0,0,FALSE
"HMR_9816","undecylic acid",0,0,FALSE
"HMR_9033","NEFA blood pool in",0,0,FALSE
"HMR_9047","H2O",2.41427734666015,1.78418131323655,TRUE
"HMR_9049","VLDL",0,0,FALSE
"HMR_9050","HDL",0,0,FALSE
"HMR_9051","LDL",0,0,FALSE
"HMR_9052","chylomicron remnant",0,0,FALSE
"HMR_9053","VLDL remnant",0,0,FALSE
"HMR_9054","HDL remnant",0,0,FALSE
"HMR_9055","LDL remnant",0,0,FALSE
"HMR_9058","CO2",0,0,FALSE
"HMR_9061","alanine",0,0,FALSE
"HMR_9065","cysteine",0,0,FALSE
"HMR_9070","aspartate",0,0,FALSE
"HMR_9075","urate",0,0,FALSE
"HMR_9078","HCO3-",0,0,FALSE
"HMR_9079","H+",0,0,FALSE
"HMR_9080","zinc",0,0,FALSE
"HMR_9081","K+",0,0,FALSE
"HMR_9085","glycerol",0,0,FALSE
"HMR_9087","ornithine",0,0,FALSE
"HMR_9091","4-aminobutyrate",0,0,FALSE
"HMR_9092","dopamine",0,0,FALSE
"HMR_9093","noradrenaline",0,0,FALSE
"HMR_9095","adrenaline",0,0,FALSE
"HMR_9096","Fe3+",-1.46798890419413,0,TRUE
"HMR_9097","D-aspartate",0,0,FALSE
"HMR_9098","D-alanine",0,0,FALSE
"HMR_9099","ethanol",0,0,FALSE
"HMR_9100","5-formyl-THF",0,0,FALSE
"HMR_9101","PNP",0,0,FALSE
"HMR_9103","H2S",0,0,FALSE
"HMR_9107","heme",0,0,FALSE
"HMR_9110","biocytin",0,0,FALSE
"HMR_9111","heparan sulfate proteoglycan",0,0,FALSE
"HMR_9113","keratan sulfate I",0,0,FALSE
"HMR_9114","keratan sulfate I, degradation product 1",0,0,FALSE
"HMR_9115","keratan sulfate II (core 2-linked)",0,0,FALSE
"HMR_9116","keratan sulfate II (core 4-linked)",0,0,FALSE
"HMR_9117","chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan",0,0,FALSE
"HMR_9118","chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan",0,0,FALSE
"HMR_9119","chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan",0,0,FALSE
"HMR_9120","chondroitin sulfate D (GlcNAc6S-GlcA2S) proteoglycan",0,0,FALSE
"HMR_9121","chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan",0,0,FALSE
"HMR_9122","hyaluronate",0,0,FALSE
"HMR_9124","de-Fuc form of PA6",0,0,FALSE
"HMR_9125","PA6",0,0,FALSE
"HMR_9126","n2m2nmasn",0,0,FALSE
"HMR_9129","estradiol-17beta 3-glucuronide",0,0,FALSE
"HMR_9133","pyruvate",0,0,FALSE
"HMR_9135","L-lactate",0,23.253496808481,TRUE
"HMR_9136","D-lactate",0,0,FALSE
"HMR_9137","mannose",0,0,FALSE
"HMR_9140","galactose",0,0,FALSE
"HMR_9141","ADP-ribose",0,0,FALSE
"HMR_9152","alpha-tocotrienol",0,0,FALSE
"HMR_9154","gamma-tocotrienol",0,0,FALSE
"HMR_9155","ITP",0,0,FALSE
"HMR_9156","dITP",0,0,FALSE
"HMR_9158","ascorbate",0,0,FALSE
"HMR_9160","hydrogen-cyanide",0,0,FALSE
"HMR_9165","oxalate",0,0,FALSE
"HMR_9166","chitin-component",0,0,FALSE
"HMR_9168","glucosamine",0,0,FALSE
"HMR_9169","selenate",0,0,FALSE
"HMR_9171","2-acetyl-1-alkyl-sn-glycero-3-phosphocholine",0,0,FALSE
"HMR_9203","D-xylose",0,0,FALSE
"HMR_9204","glycophosphatidylinositol-(GPI)-anchored-protein-precursor",0,0,FALSE
"HMR_9205","10-formyl-THF",0,0,FALSE
"HMR_9206","10-formyl-THF-glu(5)",0,0,FALSE
"HMR_9207","10-formyl-THF-glu(6)",0,0,FALSE
"HMR_9208","10-formyl-THF-glu(7)",0,0,FALSE
"HMR_9216","2-hydroxybutyrate",0.069906567693721,-6.19427233269566,TRUE
"HMR_9219","L-dopa",0,0,FALSE
"HMR_9220","cGMP",0,0,FALSE
"HMR_9232","pentaglutamyl-folate(DHF)",0,0,FALSE
"HMR_9235","pentaglutamyl-folate(THF)",0,0,FALSE
"HMR_9236","hexaglutamyl-folate(DHF)",0,0,FALSE
"HMR_9238","hexaglutamyl-folate(THF)",0,0,FALSE
"HMR_9239","heptaglutamyl-folate(DHF)",0,0,FALSE
"HMR_9240","heptaglutamyl-folate(THF)",0,0,FALSE
"HMR_9243","acetone",0,0,FALSE
"HMR_9247","acetylcholine",0,0,FALSE
