"metabolite","Bifidobacterium breve","Bifidobacterium dentium","Bifidobacterium longum","Eggerthella lenta","Escherichia coli","Haemophilus parainfluenzae","Prevotella denticola","Streptococcus salivarius","Veillonella atypica","Veillonella parvula"
"Acetamidobutanoic acid",0.922189173607045,0.821179648871092,7.62233303582612e-05,0.369563920912919,0.833802092939497,0.922189173607045,0.922189173607045,0.922189173607045,0.922189173607045,0.922189173607045
"Butyrylcarnitine",0.0506718220062023,0.00947647640405063,0.171752354691772,0.00947647640405063,0.00947647640405063,0.425794025241314,0.697803709149897,0.0506718220062023,0.00947647640405063,0.00947647640405063
"Galacturonic acid",0.62173074210879,0.0169715940543413,0.00010662239501332,0.0491191185880685,0.226722680750328,0.0840530633951216,0.0840530633951216,0.0726140750915164,0.892766138415764,0.0840530633951216
"Glucuronic acid",0.908673735863664,0.0295813493206823,2.3644601208412e-05,0.0249520404439847,0.710438493346513,0.284093980109145,0.0366907059797919,0.136415675140616,0.850099279458378,0.0886284482449315
"Guanidinosuccinic acid",0.914165749097982,0.981644200392408,0.00607912648475353,0.457385393336819,0.0994831067517026,0.584210896501025,0.457385393336819,0.133267474720449,0.0994831067517026,0.981644200392408
"Hexose alcohols",0.673721912683745,0.601635538104609,0.0107698610421091,0.465162098305343,0.465162098305343,0.465162098305343,0.465162098305343,0.70672518382966,0.724035804148953,0.479620417457487
"Hexoses",0.912583608299146,0.535673031614389,0.0138617155506234,0.535673031614389,0.662385548294048,0.662385548294048,0.757120987058863,0.662385548294048,0.912583608299146,0.662385548294048
"Hydroxyphenylacetic acids",0.620976052786487,0.287218109596758,9.66227848861711e-06,0.00156286550420887,0.327363499385202,0.592670135793484,0.292231497344596,0.497857260716042,0.497857260716042,0.636928512443996
"Indolelactic acid",0.575975457217863,0.289646438100422,0.00534745917493097,0.000237083538391675,0.575975457217863,0.575975457217863,0.289646438100422,0.575975457217863,0.786927254707369,0.786927254707369
"Methylimidazoleacetic acid",0.749217577623419,0.125642729423094,0.00127214792181184,0.0344347151060243,0.776922735622541,0.749217577623419,0.749217577623419,0.749217577623419,0.749217577623419,0.749217577623419
"N-Acetyl-L-alanine",0.952066482927616,0.0445861776491086,0.000394731662899191,0.794673037793262,0.00209317750635255,0.952066482927616,0.141937855817884,0.853497314379953,0.952066482927616,0.871750096398587
"N-Acetyl-L-aspartic acid",0.352567937526213,0.114021775684616,0.57133024839449,0.000989258443856154,0.114021775684616,0.126560289089407,0.883923770392613,0.192672590292899,0.551758203521932,0.883923770392613
"N-Acetyl-l-phenylalanine",0.262296946984331,0.0780831820671572,6.42469845077672e-05,0.012859077841664,0.776533099310284,0.0204546761516731,0.187762045117108,0.000625044175538973,0.0265639478478964,0.32710285520769
"N-Acetyl-L-tryptophan",0.760766427817119,0.0443720239810234,0.590355500291084,0.760766427817119,0.248976389074953,0.769596212687956,0.760766427817119,0.760766427817119,0.248976389074953,0.0443720239810234
