"metabolite","Bifidobacterium breve","Bifidobacterium dentium","Bifidobacterium longum","Eggerthella lenta","Escherichia coli","Haemophilus parainfluenzae","Prevotella denticola","Streptococcus salivarius","Veillonella atypica","Veillonella parvula"
"Acetamidobutanoic acid",0.788785495839547,0.223958086055752,6.92939366893284e-06,0.0671934401659854,0.303200761068908,0.649072745358871,0.656219777404086,0.673423473420409,0.536357985252901,0.838353794188223
"Butyrylcarnitine",0.0306557165255591,0.00359177811797583,0.124910803412198,0.00430748927456847,0.00313653067602413,0.387085477492103,0.697803709149897,0.0322457049130378,0.00143804630118955,0.00288878226119692
"Galacturonic acid",0.508688788998101,0.0030857443735166,9.69294500121093e-06,0.0133961232512914,0.164889222363875,0.0522464782524276,0.0534883130696229,0.0264051182150969,0.811605580377968,0.0436631511593393
"Glucuronic acid",0.908673735863664,0.00806764072382244,2.14950920076473e-06,0.00453673462617903,0.516682540615646,0.180787078251274,0.0133420749017425,0.0744085500766995,0.772817526780343,0.0402856582931507
"Guanidinosuccinic acid",0.747953794716531,0.981644200392408,0.000552647862250321,0.283412563578512,0.0204049471753578,0.424880652000746,0.29106343212343,0.0484608998983452,0.027131756386828,0.943483575679058
"Hexose alcohols",0.551227019468518,0.437553118621534,0.000979078276555369,0.137086747483044,0.156498453355032,0.211437317411519,0.172098205899035,0.642477439845145,0.724035804148953,0.261611136794993
"Hexoses",0.851041593066239,0.146092644985742,0.00126015595914758,0.100314715875823,0.471443774129382,0.41973569609509,0.619462625775433,0.481734944213853,0.912583608299146,0.461954521147966
"Hydroxyphenylacetic acids",0.508071315916217,0.0783322117082067,8.78388953510646e-07,0.000284157364401612,0.148801590629637,0.431032826031625,0.106265999034399,0.3168182568193,0.292659434374929,0.636928512443996
"Indolelactic acid",0.418891241612991,0.105325977491063,0.000972265304532903,2.15530489446978e-05,0.413938393946347,0.380730626500446,0.0806188335448965,0.270606259462936,0.671291107266919,0.715388413370335
"Methylimidazoleacetic acid",0.438145818757831,0.034266198933571,0.000115649811073803,0.00626085729200442,0.776922735622541,0.681106888748562,0.377141603929695,0.669689710265614,0.551708276956574,0.331334008525631
"N-Acetyl-L-alanine",0.864389181406668,0.0121598666315751,3.58846966271992e-05,0.361215017178755,0.000380577728427736,0.773301042752315,0.0516137657519577,0.465543989661792,0.89887735958418,0.554750061344555
"N-Acetyl-L-aspartic acid",0.224361414789408,0.0284433633482308,0.467452021413674,8.99325858051049e-05,0.0310968479139862,0.0460219233052387,0.883313488078188,0.101042439145217,0.401278693470496,0.883923770392613
"N-Acetyl-l-phenylalanine",0.21460659298718,0.0496892976791,5.84063495525156e-06,0.00350702122954473,0.776533099310284,0.00743806405515387,0.136554214630624,0.000113644395552541,0.0120745217490438,0.29736623200699
"N-Acetyl-L-tryptophan",0.604308551356298,0.00806764072382244,0.322012091067864,0.691605843470108,0.0905368687545282,0.769596212687956,0.647017099769508,0.615649716904919,0.0834601881272571,0.00614464914996799
"N-Acetylglycine",0.498604169478305,0.742103076096984,0.0250097759094346,0.134098757383823,0.592975450495637,0.27912888340061,0.920398846364207,0.412264938798176,0.00193416010404077,0.0936523156890548
"N-Acetylneuraminic acid",0.611669839140737,0.0582744938188076,2.61235780264177e-05,0.000264659825262432,0.811723311763688,0.0295644623949805,0.387119620965193,0.153991843272656,0.346345685404177,0.0922272772566025
"N-Formyl-L-methionine",0.420886024550102,0.297923103771976,0.00320538272983291,0.0228301655533491,0.446283218437974,0.111710741227726,0.00263625462067703,0.473989259894595,0.559233520983648,0.00189777444554569
"N6-Acetyl-L-lysine",0.427365579502116,0.0326578402794677,2.39748457092931e-05,0.195334821695307,0.00786243137741311,0.802751007165573,0.0316694040800659,0.375800073006562,0.458229507589281,0.318089686366789
"N6,N6,N6-Trimethyl-L-lysine",0.671245842037264,0.0259306927524242,0.00011067550057782,0.11620515245766,0.768234195843503,0.888689027632765,0.998213382431002,0.382271458828625,0.433302526891029,0.860926520054784
"N8-Acetylspermidine",0.441335643028589,0.380546452767295,0.00698700290350028,0.0812298667616292,0.00823825778895219,0.144535321778314,0.535143783713885,0.511476284957828,0.851741146937481,0.472162305227461
"Orotidine",0.636726670659638,0.0450696402403213,4.50760320026725e-07,0.0032975159699532,0.0971943744523994,0.377512814670658,0.0178794191230121,0.882548349365278,0.893599646168133,0.661543507622493
"p-Hydroxyphenyllactic acid",0.291623516748887,0.904585342170148,0.235258266015509,0.354106032390292,6.23716572788053e-05,0.823276754687503,0.344361744260491,0.0211237949052692,0.00154271728755556,0.0140708552016713
"Pantothenic acid",0.212965051134202,0.803951578586042,0.000727825037185064,3.45140013687457e-05,0.00280304447087971,0.0765649581865667,0.0707557769069258,0.103944266476702,0.0923321114867963,0.329977053268233
