"metabolite","Bifidobacterium breve","Bifidobacterium dentium","Bifidobacterium longum","Eggerthella lenta","Escherichia coli","Haemophilus parainfluenzae","Prevotella denticola","Streptococcus salivarius","Veillonella atypica","Veillonella parvula"
"Acetamidobutanoic acid",-0.0268510135365872,-0.121459488082627,-0.428744072361246,-0.181960862899562,0.10294255697161,0.0455952318872484,-0.0446030305474129,0.042232045476472,0.061928200954913,0.0204488850850472
"Butyrylcarnitine",0.21417129180216,0.285808806181208,-0.152926056031929,-0.280420776894898,0.289761509593371,0.0865451351526291,0.0389111314005282,0.212219516770618,0.311499757511865,0.292134612017068
"Galacturonic acid",-0.0661807999922019,-0.29023390217409,-0.422542608735575,-0.244160637577883,0.138556493806263,-0.192766343767309,-0.191778192846741,-0.219845261345224,-0.0238917729891941,-0.200183971374436
"Glucuronic acid",-0.011499490671356,-0.260966761495297,-0.44946465611782,-0.278864052834539,0.0649403980895671,-0.133566512514871,-0.244298898611178,-0.177433820085257,-0.0289353398678428,-0.203438811214963
"Guanidinosuccinic acid",0.0322059326481318,-0.00230651721636723,-0.336118196857391,-0.107226576713021,0.229354205958683,0.0798700642157289,0.105547442669605,0.195903043128909,0.218822799384426,-0.00710687203440187
"Hexose alcohols",-0.0596881020842298,-0.0777096973267427,-0.321644342884339,-0.14822031030246,0.141335207136283,-0.124784770253914,-0.136251738201263,-0.0465147638634057,0.0353843051576205,-0.112184423268653
"Hexoses",0.0188242954602974,-0.144940402855669,-0.315024167298541,-0.163631878500008,0.0720994049377852,-0.0807577066275508,-0.0497546558447939,0.0704398967670075,-0.0110051762677929,-0.0736471195568184
"Hydroxyphenylacetic acids",-0.0662770300396609,-0.175118760212533,-0.46443643782724,-0.352116568341405,0.143983756705426,-0.0788167285537004,-0.160868441062456,-0.100099999638219,-0.105200871387903,-0.0472914077350939
"Indolelactic acid",-0.0809039972534359,-0.161296742227043,-0.321825407515745,-0.407264959590769,0.0817654790063674,-0.0877049879040763,-0.173812184978032,-0.110106297784286,0.0425246357948085,-0.0365419453748158
"Methylimidazoleacetic acid",-0.0776095332757203,-0.209853200959752,-0.372478238151696,-0.268993269162933,0.0283983370469236,-0.0411806902924544,-0.0883652123572179,-0.042744604857887,0.0596160938914426,-0.0971555540919606
"N-Acetyl-L-alanine",-0.0171204575611696,-0.247452279138657,-0.397114344562434,-0.0913422256526974,0.345194293844988,0.028872048848525,-0.193277262541843,0.0730596447164616,0.0127392565653957,0.0591616671187185
"N-Acetyl-L-aspartic acid",-0.121354580732397,-0.217034727403799,-0.0727483739372671,0.377940890809351,-0.213621368774457,0.198033022077452,0.01471295053543,0.163287181158205,-0.0839952227812701,0.0146354581003154
"N-Acetyl-l-phenylalanine",-0.123930149649683,-0.194863686605484,-0.431856120713544,-0.2865092976643,0.028449270692484,-0.263564702534219,-0.148419314051355,-0.372861322010298,-0.247690136103343,-0.104186008147498
"N-Acetyl-L-tryptophan",-0.0519161106041551,-0.260966761495297,-0.099036695109589,0.0397512371634857,-0.168465862338147,0.0293572933669876,-0.0458814250082106,-0.0502963130774004,-0.172229308512236,-0.269577156774462
"N-Acetylglycine",0.0677601048887356,-0.0329803486419324,-0.221877730979393,-0.149344611012719,-0.053548239365881,-0.108179939536767,-0.0100178946883339,-0.0820579094124128,-0.303430050506027,-0.16688271436258
