"rxns","metabolite","n0","n5","c0","c5","log2FC_0","log2FC_5","label_flag"
"HMR_7108","benzo",0,0,0,0,0,0,FALSE
"HMR_7110","naphthalene",0,0,0,0,0,0,FALSE
"HMR_7112","aflatoxin B1",0,0,0,0,0,0,FALSE
"HMR_7114","trichloroethene",0,0,0,0,0,0,FALSE
"HMR_7116","bromobenzene",0,0,0,0,0,0,FALSE
"HMR_7118","7,12-dimethylbenz",0,0,0,0,0,0,FALSE
"HMR_7120","4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone",0,0,0,0,0,0,FALSE
"HMR_7122","1-nitronaphthalene",0,0,0,0,0,0,FALSE
"HMR_7124","1,1-dichloroethylene",0,0,0,0,0,0,FALSE
"HMR_7126","1,2-dibromoethane",0,0,0,0,0,0,FALSE
"HMR_9024","chylomicron",0,0,0,0,0,0,FALSE
"HMR_9810","valeric acid",0,0,0,0,0,0,FALSE
"HMR_9811","hexanoic acid",0,0,0,0,0,0,FALSE
"HMR_9812","heptylic acid",0,0,0,0,0,0,FALSE
"HMR_9813","octanoic acid",0.695647282,0.209386685,0,0,-19.4079985419068,-17.6758170680337,TRUE
"HMR_9814","nonanoic acid",0,0,0,0,0,0,FALSE
"HMR_9815","decanoic acid",0,0,0,0,0,0,FALSE
"HMR_9816","undecylic acid",0,0,0,0,0,0,FALSE
"HMR_9037","phytanic acid",0,0,0,0,0,0,FALSE
"HMR_9049","VLDL",0,0,0,0,0,0,FALSE
"HMR_9052","chylomicron remnant",0,0,0,0,0,0,FALSE
"HMR_9053","VLDL remnant",0,0,0,0,0,0,FALSE
"HMR_9055","LDL remnant",0,0,0,0,0,0,FALSE
"HMR_9061","alanine",0,1.603793245,0,1.510240729,0,-0.0867095809841524,FALSE
"HMR_9065","cysteine",0,0,0,0,0,0,FALSE
"HMR_9074","sulfate",0.001610701,0.00203607,0.000971094,0.00146854,-0.729416390295986,-0.471130927781187,FALSE
"HMR_9075","urate",0,0,0,0,0,0,FALSE
"HMR_9078","HCO3-",4.677138506,4.677146057,0.488327867,4.734131677,-3.25970149209085,0.0174713489466445,FALSE
"HMR_9080","zinc",0,0,0,0,0,0,FALSE
"HMR_9081","K+",0,0,0,0,0,0,FALSE
"HMR_9085","glycerol",0,0,0,0,0,0,FALSE
"HMR_9086","acetate",3.67834319,2.830275223,4.873779122,8.461187714,0.405984684191657,1.57991750121458,FALSE
"HMR_9087","ornithine",0,3.567311176,1.448017917,4.87353977,20.465649019317,0.450132841642212,TRUE
"HMR_9092","dopamine",0,0,0,0,0,0,FALSE
"HMR_9093","noradrenaline",0,0,0,0,0,0,FALSE
"HMR_9094","5-hydroxy-L-tryptophan",0,0,0,0,0,0,FALSE
"HMR_9095","adrenaline",0,0,0,0,0,0,FALSE
"HMR_9096","Fe3+",0,0,0,0,0,0,FALSE
"HMR_9097","D-aspartate",0,0,0,0,0,0,FALSE
"HMR_9098","D-alanine",0,0,0,0,0,0,FALSE
"HMR_9099","ethanol",0,0,0,0,0,0,FALSE
"HMR_9100","5-formyl-THF",0,0,0,0,0,0,FALSE
"HMR_9101","PNP",0,0,0,0,0,0,FALSE
"HMR_9103","H2S",0,0,0,0,0,0,FALSE
"HMR_9104","1-methylnicotinamide",0,0,0,0,0,0,FALSE
"HMR_9105","thiamin-P",0,0,0,0,0,0,FALSE
"HMR_9106","thiamin-PPP",0,0,0,0,0,0,FALSE
"HMR_9107","heme",0.04290491,0,0.043525866,0,0.020729764713141,0,FALSE
"HMR_9108","dihydroneopterin",0,0,0,0,0,0,FALSE
"HMR_9110","biocytin",0,0,0,0,0,0,FALSE
"HMR_9111","heparan sulfate proteoglycan",0,0,0,0,0,0,FALSE
"HMR_9113","keratan sulfate I",0,0,0,0,0,0,FALSE
"HMR_9114","keratan sulfate I, degradation product 1",0,0,0,0,0,0,FALSE
"HMR_9115","keratan sulfate II (core 2-linked)",0,0,0,0,0,0,FALSE
"HMR_9116","keratan sulfate II (core 4-linked)",0,0,0,0,0,0,FALSE
"HMR_9117","chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan",0,0,0,0,0,0,FALSE
"HMR_9118","chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan",0,0,0,0,0,0,FALSE
"HMR_9119","chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan",0,0,0,0,0,0,FALSE
"HMR_9120","chondroitin sulfate D (GlcNAc6S-GlcA2S) proteoglycan",0,0,0,0,0,0,FALSE
"HMR_9121","chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan",0,0,0,0,0,0,FALSE
"HMR_9122","hyaluronate",0,0,0,0,0,0,FALSE
"HMR_9124","de-Fuc form of PA6",0,0,0,0,0,0,FALSE
